[2026-06-05 21:22:41.569959+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:41.806279+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:42.528684+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:46.541881+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:46.586502+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:46.821748+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:47.543802+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:51.577039+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:51.603372+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:51.834254+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:52.579225+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:56.605483+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:56.664924+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:56.852829+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:57.599194+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:01.620733+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:01.680231+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:01.868062+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:02.618892+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:06.651273+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:06.705797+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:06.883011+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:07.634515+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:11.671467+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:11.724464+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:11.902764+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:12.661748+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:16.736553+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:16.782342+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:16.975377+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:17.693020+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:21.769920+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:21.824665+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:22.056799+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:22.811235+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:26.785847+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:26.941763+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:27.145356+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:27.845162+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:31.812697+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:31.963017+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:32.162812+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:32.860428+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:36.831903+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:36.980993+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:37.180584+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:37.874680+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:41.864940+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:42.016149+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:42.228671+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:42.897819+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:46.878293+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:47.035529+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:47.246090+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:47.915722+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:51.890421+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:52.048396+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:52.262600+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:52.932716+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:56.936954+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:57.071564+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:57.279032+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:23:57.960758+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:01.964741+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:02.087450+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:02.294674+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:02.999064+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:06.995027+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:07.110333+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:07.319520+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:08.012973+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:12.043664+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:12.154728+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:12.351410+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:13.025289+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:17.063094+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:24:17.194830+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
